----------------------------------------
Begin Torque Prologue on nid25433
at Sat Oct 12 21:33:52 CDT 2019
Job Id:			10543640.bw
Username:		tra200
Group:			TRAIN_bayw
Job name:		sync_sgd_cifar100
Requested resources:	nodes=04:ppn=16:xk,walltime=04:00:00,neednodes=04:ppn=16:xk
Queue:			normal
Account:		bayw
End Torque Prologue:  0.104 elapsed
----------------------------------------




Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
2	40	0.012763	0.592300	0.011807	0.648420
1	40	0.012719	0.595100	0.011770	0.648940
0	41	0.012525	0.598700	0.011555	0.653260
3	41	0.012563	0.595600	0.011559	0.649520
2	41	0.012625	0.593100	0.011631	0.649860
1	41	0.012622	0.594300	0.011635	0.650240
0	42	0.012806	0.592400	0.011924	0.650380
3	42	0.012851	0.589300	0.011983	0.647500
2	42	0.012812	0.590400	0.011928	0.647680
1	42	0.012805	0.591500	0.011924	0.648500
0	43	0.012536	0.596600	0.011555	0.657440
3	43	0.012496	0.599300	0.011485	0.657440
2	43	0.012526	0.598000	0.011516	0.660540
1	43	0.012539	0.598600	0.011557	0.655160
0	44	0.012542	0.598800	0.011543	0.657240
3	44	0.012568	0.600500	0.011615	0.657440
2	44	0.012530	0.597200	0.011523	0.659620
1	44	0.012552	0.596600	0.011547	0.657900
0	45	0.012895	0.585500	0.011859	0.647220
3	45	0.012798	0.587700	0.011756	0.649680
2	45	0.012802	0.589100	0.011811	0.652220
1	45	0.012854	0.587400	0.011830	0.651220
0	46	0.013263	0.574400	0.012189	0.627800
3	46	0.013183	0.574200	0.012087	0.630980
2	46	0.013259	0.574700	0.012145	0.625100
1	46	0.013301	0.572500	0.012224	0.626400
0	47	0.013114	0.574000	0.012018	0.636640
3	47	0.013065	0.577300	0.011975	0.639680
2	47	0.013098	0.577100	0.012028	0.637960
1	47	0.013040	0.579200	0.011984	0.638940
0	48	0.012859	0.581700	0.011735	0.646980
3	48	0.012935	0.578300	0.011803	0.641060
2	48	0.012862	0.580300	0.011725	0.642620
1	48	0.013003	0.576800	0.011871	0.638300
0	49	0.013043	0.580800	0.011932	0.642240
3	49	0.013070	0.585300	0.011971	0.639880
2	49	0.012973	0.584600	0.011865	0.645980
1	49	0.013041	0.581000	0.011946	0.638360
0	50	0.012672	0.588700	0.011666	0.648360
3	50	0.012753	0.583900	0.011744	0.643520
2	50	0.012765	0.581300	0.011716	0.641780
1	50	0.012705	0.582400	0.011658	0.645040
0	51	0.012847	0.590700	0.011636	0.652980
3	51	0.012885	0.587300	0.011637	0.651080
2	51	0.012904	0.585800	0.011716	0.649080
1	51	0.012837	0.589300	0.011598	0.652780
0	52	0.012710	0.587600	0.011626	0.653300
3	52	0.012668	0.589900	0.011594	0.655260
2	52	0.012636	0.591000	0.011555	0.655060
1	52	0.012603	0.592000	0.011541	0.654460
0	53	0.012832	0.583000	0.011682	0.645200
3	53	0.012814	0.581800	0.011662	0.645440
2	53	0.012800	0.582000	0.011634	0.646280
1	53	0.012730	0.585900	0.011570	0.648820
0	54	0.012929	0.587800	0.011917	0.640100
3	54	0.012867	0.591700	0.011845	0.644160
2	54	0.012954	0.588700	0.011903	0.642620
1	54	0.012922	0.590100	0.011900	0.641720
0	55	0.012717	0.591700	0.011600	0.648980
3	55	0.012678	0.591900	0.011554	0.649700
2	55	0.012737	0.590600	0.011609	0.647920
1	55	0.012688	0.590600	0.011564	0.648700
0	56	0.012478	0.595400	0.011311	0.658540
3	56	0.012468	0.596100	0.011311	0.660680
2	56	0.012509	0.595100	0.011371	0.659080
1	56	0.012458	0.594700	0.011303	0.658180
0	57	0.012598	0.591800	0.011507	0.659600
3	57	0.012696	0.586200	0.011585	0.651660
2	57	0.012691	0.587300	0.011615	0.650680
1	57	0.012637	0.590400	0.011551	0.655240
0	58	0.012404	0.601200	0.011273	0.666180
3	58	0.012443	0.599400	0.011312	0.666700
2	58	0.012410	0.600500	0.011291	0.666000
1	58	0.012381	0.600200	0.011250	0.667220

9.02%
15.92%
21.90%
25.13%
28.90%
28.08%
31.08%
36.49%
33.96%
34.17%
38.28%
36.84%
40.13%
39.22%
32.02%
35.93%
36.16%
43.35%
36.04%
37.77%
41.44%
54.49%
56.01%
56.29%
55.81%
56.72%
57.76%
58.21%
58.48%
58.23%
58.35%
58.45%
58.92%
60.04%
58.63%
58.15%
58.43%
60.09%
58.84%
58.41%
60.12%
60.87%
60.24%
60.66%
60.88%
59.55%
58.44%
58.40%
59.17%
59.08%
59.87%
60.07%
59.76%
59.30%
59.78%
60.17%
60.54%
60.18%
61.12%
